Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Christian Bethancourt","TOR","AAA",33,58,196,214,34,17,10,0,7,19,21,11,0,56,1,2,4,7,2,1,0.173469387,"10028"
"Billy Hamilton","CHC","AAA",34,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,"10199"
"Rafael Ortega","NYM","AAA",34,12,38,40,9,5,2,0,2,7,11,1,0,7,0,1,0,0,1,0,0.236842105,"10323"
"Jon Singleton","NYM","AAA",33,55,183,224,39,20,7,0,12,37,42,39,0,60,1,1,0,2,1,0,0.213114754,"10441"
"Carlos Perez","CHC","AAA",34,111,402,465,115,55,32,1,27,75,87,51,0,77,7,5,0,8,1,1,0.286069651,"10642"
"Rob Brantly","MIA","AAA",35,14,43,45,15,8,6,0,1,5,7,2,0,8,0,0,0,1,0,0,0.348837209,"10655"
"Jurickson Profar","ATL","AAA",32,13,48,59,16,10,3,0,3,7,9,8,0,6,0,3,0,0,0,0,0.333333333,"10815"
"Jake Marisnick","ATL","AAA",34,12,41,45,4,2,1,0,1,5,1,3,0,13,1,0,0,2,1,0,0.097560975,"11339"
"Yasmani Grandal","BOS","AAA",36,23,78,94,20,13,5,0,2,8,16,13,0,15,2,1,0,3,0,0,0.256410256,"11368"
"Gary Sanchez","BAL","AAA",32,15,49,57,18,11,1,0,6,11,13,5,0,11,3,0,0,0,0,0,0.367346938,"11442"
"Mark Canha","KCR","AAA",36,9,27,33,6,4,1,0,1,5,1,6,0,9,0,0,0,0,0,0,0.222222222,"11445"
"Dixon Machado","CHC","AAA",33,84,272,331,60,46,10,0,4,36,34,50,0,59,3,3,3,7,4,2,0.220588235,"11472"
"Brandon Drury","CHW","AAA",32,10,39,47,7,5,1,0,1,5,3,7,0,10,1,0,0,0,0,0,0.179487179,"11615"
"Niko Goodrum","NYM","AAA",33,12,35,46,8,4,3,0,1,6,3,8,0,12,2,1,0,0,2,2,0.228571428,"12092"
"Eddie Rosario","MIL","AAA",33,20,69,83,20,13,5,0,2,13,11,11,0,17,0,3,0,1,6,1,0.289855072,"12155"
"Ben Gamel","DET","AAA",33,17,61,72,16,11,5,0,0,6,4,10,0,22,1,0,0,0,2,1,0.262295081,"12160"
"Jorge Alfaro","MIL","AAA",32,82,307,326,75,49,10,1,15,49,49,11,0,119,7,1,0,5,12,0,0.244299674,"12180"
"George Springer","TOR","AAA",35,2,5,6,2,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0.4,"12856"
"James McCann","ATL","AAA",35,41,148,160,44,27,11,0,6,19,30,9,0,41,0,3,0,4,0,0,0.297297297,"12859"
"Omar Narvaez","CHW","AAA",33,15,55,63,12,9,1,0,2,6,5,6,0,13,2,0,0,2,0,0,0.218181818,"13338"
"Luke Maile","KCR","AAA",34,24,82,101,23,19,3,0,1,13,12,18,0,22,1,0,0,3,2,0,0.280487804,"13355"
"Jesse Winker","NYM","AAA",31,2,7,9,1,0,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0.142857142,"13590"
"Jeimer Candelario","NYY","AAA",31,76,284,322,58,32,18,0,8,37,41,31,0,94,6,1,0,3,0,1,0.204225352,"13621"
"Tyrone Taylor","NYM","AAA",31,2,9,9,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.222222222,"13675"
"Jacob Stallings","BAL","AAA",35,3,10,12,4,4,0,0,0,2,2,2,0,3,0,0,0,2,0,0,0.4,"13723"
"Tomas Nido","DET","AAA",31,48,172,189,36,25,6,0,5,19,21,11,0,46,3,1,2,6,0,0,0.209302325,"13755"
"Travis Jankowski","NYM","AAA",34,17,65,75,15,12,1,0,2,13,7,10,0,12,0,0,0,2,4,1,0.23076923,"13768"
"Tyler Heineman","TOR","AAA",34,2,4,7,2,1,1,0,0,1,1,2,0,0,1,0,0,0,0,1,0.5,"13897"
"Albert Almora Jr.","MIA","AAA",31,44,146,159,35,26,8,0,1,20,15,9,0,33,2,2,0,4,4,2,0.239726027,"14109"
"Eric Haase","MIL","AAA",32,19,64,77,13,8,4,0,1,6,15,11,0,20,0,2,0,1,0,0,0.203125,"14111"
"Andrew Velazquez","NYY","AAA",30,106,330,368,80,56,19,0,5,49,41,28,0,93,2,2,6,2,25,4,0.242424242,"14196"
"Joey Meneses","NYM","AAA",33,110,385,419,102,55,35,1,11,37,55,29,1,62,4,1,0,11,2,0,0.264935064,"14366"
"Anthony Santander","TOR","AAA",30,10,32,38,7,3,2,0,2,4,5,6,0,6,0,0,0,1,0,0,0.21875,"14551"
"Franchy Cordero","WSN","AAA",30,44,150,166,32,22,6,0,4,11,17,15,0,43,1,0,0,4,0,0,0.213333333,"14567"
"Harold Castro","KCR","AAA",31,99,368,403,113,72,18,2,21,54,65,26,0,78,2,2,5,7,7,2,0.307065217,"14691"
"Manuel Margot","DET","AAA",30,37,128,144,27,23,2,1,1,14,16,12,0,27,4,0,0,2,0,1,0.2109375,"14712"
"Buck Farmer","CIN","AAA",34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14814"
"Dom Nunez","CLE","AAA",30,76,238,298,42,19,14,0,9,28,33,51,0,87,5,3,1,5,1,1,0.176470588,"15055"
"Jake Bauers","MIL","AAA",29,5,19,22,4,0,1,0,3,4,5,3,0,8,0,0,0,0,0,0,0.210526315,"15194"
"Mike Tauchman","CHW","AAA",34,11,36,43,4,3,0,0,1,3,4,6,0,13,0,1,0,3,0,0,0.111111111,"15274"
"Garrett Cooper","ATL","AAA",34,35,123,138,28,22,4,0,2,8,17,13,0,33,2,0,0,5,1,0,0.227642276,"15279"
"Jeff McNeil","NYM","AAA",33,2,8,9,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.25,"15362"
